Name,n,m,randomized,greedy,semi_greedy,local_search_value,local_search_iters,grasp_value,grasp_iters,known_best,
g1,800,19176,9688,10954,11150,11355,1070,11432,4495,12078,
g2,800,19176,9695,11046,11199,11390,918,11473,4912,12084,
g3,800,19176,9686,11076,11175,11422,1006,11464,5117,12077,
g4,800,19176,9665,11098,11183,11392,925,11450,5070,,
g5,800,19176,9624,10992,11194,11384,973,11425,4541,,
g6,800,19176,201,1506,1731,1920,884,1970,5530,,
g7,800,19176,-53,1355,1527,1802,880,1836,5503,,
g8,800,19176,73,1383,1581,1720,948,1796,5540,,
g9,800,19176,84,1474,1573,1748,940,1907,5462,,
g10,800,19176,-35,1428,1511,1764,1184,1818,5135,,
g11,800,1600,46,434,442,452,90,454,504,627,
g12,800,1600,36,418,430,450,110,450,469,621,
g13,800,1600,40,432,458,472,80,498,526,645,
g14,800,4694,2375,2903,2937,2974,270,2974,1302,3187,
g15,800,4661,2354,2859,2924,2950,220,2954,1388,3169,
g16,800,4672,2339,2878,2926,2952,230,2972,1547,3172,
g17,800,4667,2368,2863,2920,2945,200,2958,1313,,
g18,800,4694,66,790,800,872,345,891,2648,,
g19,800,4661,15,700,676,757,450,819,2584,,
g20,800,4672,-12,724,756,820,440,830,2561,,
g21,800,4667,25,675,727,787,350,848,2350,,
g22,2000,19990,10109,12335,12715,12912,1364,12986,6562,14123,
g23,2000,19990,10091,12304,12728,12912,1241,13013,6506,14129,
g24,2000,19990,10098,12344,12732,12922,1244,12975,6506,14131,
g25,2000,19990,9979,12426,12674,12896,1243,12980,6634,,
g26,2000,19990,10050,12328,12689,12889,1285,12960,6716,,
g27,2000,19990,67,2339,2551,2847,1597,2912,8824,,
g28,2000,19990,116,2302,2500,2814,1732,2962,8650,,
g29,2000,19990,212,2371,2699,2906,1614,3003,8971,,
g30,2000,19990,205,2384,2694,2932,1673,3009,8932,,
g31,2000,19990,-23,2298,2509,2848,1677,2970,8862,,
g32,2000,4000,50,1058,1134,1160,166,1210,1122,1560,
g33,2000,4000,26,998,1144,1153,176,1162,909,1537,
g34,2000,4000,-14,988,1080,1159,229,1182,1090,1541,
g35,2000,11778,5945,7222,7392,7446,557,7470,3120,8000,
g36,2000,11766,5972,7230,7377,7439,554,7469,3016,7996,
g37,2000,11785,6000,7255,7374,7443,591,7473,3005,8009,
g38,2000,11779,5963,7261,7357,7443,632,7482,2969,,
g39,2000,11778,100,1874,1846,2061,1365,2134,6668,,
g40,2000,11766,56,1858,1906,2062,1193,2156,5677,,
g41,2000,11785,26,1876,1897,2073,1137,2137,5486,,
g42,2000,11779,119,1876,1829,2129,1337,2201,6373,,
g43,1000,9990,5063,6187,6338,6420,640,6480,3554,7027,
g44,1000,9990,5035,6173,6279,6414,794,6473,3302,7022,
g45,1000,9990,5047,6183,6300,6409,728,6449,3293,7020,
g46,1000,9990,5046,6155,6343,6443,686,6502,3511,,
g47,1000,9990,5019,6214,6351,6437,522,6493,3187,,
g48,3000,6000,3034,6000,5698,5671,17,5840,156,,
g49,3000,6000,3068,6000,5792,5725,41,5884,145,,
g50,3000,6000,3014,5880,5594,5692,26,5792,141,,
g51,1000,5909,2974,3633,3691,3717,230,3739,1580,,
g52,1000,5916,2990,3672,3699,3732,308,3755,1755,,
g53,1000,5914,2926,3632,3676,3719,343,3740,1578,,
g54,1000,5916,3009,3619,3693,3725,366,3728,1649,,
